nome;Indirizzo;Colore Pin;Nascosto;Referente;Email;Telefono;Cellulare;Mandanti;P.IVA/C.F.;Freezco ;consegna;bonifico;fattura;incasso;incasso mancato;proroga;Visite Totali;visita dal cliente;telefonata;email;altro;Ultima Visita;Latitudine;Longitudine;Note;GentmoID
Evento gabriele;Via Prisciano 20A, 00136 Roma Lazio, Italia;rosso;x;Ginevra;;;3334536470;;;0;1;0;0;0;0;0;1;1;0;0;0;01/06/25;41.9245252;12.4464351;;gentmo.c.-ORSwCoNWrErnlKVIhOt
Evento gensola ;Via Pietro Germi 4, 00067 Morlupo Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;42.1349618;12.5256015;;gentmo.c.-OVbo4Ttx3DYv8HHr6OV
Evento giacomo ;Via Dignano d'Istria 33, 00177 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8945346;12.5508389;;gentmo.c.-O_amjd5zkoLlmZzqy86
Evento gianfornaio;Via Ildebrando Goiran 23, 00195 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;18/05/25;41.9212667;12.4544123;;gentmo.c.-OQYt_YaEndcqBMUTrJ6
Evento giuliano;Via Macedonia 122, 00179 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;07/06/25;41.8696385;12.5136858;;gentmo.c.-ORvkKlmTlMBMk_k6rAd
Evento hanky;Via Oslavia 12, 00195 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9170354;12.4630719;;gentmo.c.-Ob8BCRieoUQkCS5BaNH
Evento ivano ;Via Alberto Mancini 26, 00149 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;01/05/25;41.8550208;12.4559047;;gentmo.c.-OP8wOGngAOuE9aQXaFC
Evento janik;Via Dandolo 86, 00153 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8858444;12.4664374;;gentmo.c.-OW-vxRMPX2wQkcc7TDj
Evento latta;Via Sardegna 48, 00187 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;24/04/25;41.9102812;12.494361;;gentmo.c.-OOUHbktXymeZM9A5iTU
Evento livia massimo;Via Flaminia 544, 00191 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9396261;12.4697411;;gentmo.c.-OdzkUgKI25dSqRuYIbX
Evento luciano;Via di Villa Bini, 00136 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;31/05/25;41.90941576000637;12.442691255789809;;gentmo.c.-OR1V8EZ5OTV2gpIPjX1
Evento mancini ;Via Cassia 15, 00135 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;14/07/25;41.9399272;12.4655928;;gentmo.c.-OV7IP9kis_fzKLtv4Qo
Evento marita;Via Tiburtina 547, 00157 Roma Lazio, Italia;rosso;x;Carmen ;;;3338746542;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9088567;12.5431591;;gentmo.c.-O_9SYD77FHaHmPOgo7H
Evento militare ;Via Como 6, 00161 Roma Lazio, Italia;rosso;x;Scala a;;3397759541;;;;0;1;0;0;0;0;0;1;1;0;0;0;13/07/25;41.9105499;12.5143343;;gentmo.c.-OUzSxk1644IUWu04bPt
Evento miscele ;Via di Tor Pignattara 161, 00177 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;2;2;0;0;0;27/06/25;41.8762016;12.5416776;;gentmo.c.-OR35LElEhiOTmrf55jW
Evento pietrala Jacopo ex ciringhito ;Piazza Federico Sacco 11, 00158 Roma Lazio, Italia;rosso;x;;;;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.91672702899475;12.56083767539619;;gentmo.c.-O_VKgWF4Md8G6GbKjqi
Evento retro ;Largo Sant'Eufrasia Pelletier 14, 00151 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8683922;12.4453621;;gentmo.c.-Oag8dcPeBZXzmOEiIh9
Evento santa maria in trastevere  ;00153 Roma Lazio, Italia;rosso;x;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;03/06/25;41.88973414465685;12.470488101025799;;gentmo.c.-ORpHVNIjhvnl7mPgRti
Evento scott;Via del Frantoio 9C, 00159 Roma Lazio, Italia;rosso;x;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9129081;12.5616705;;gentmo.c.-OU4o1BSc33t1pXRQwEs
Evento stefano amico simone ;Via Pietro Frattini 96, 00149 Roma Lazio, Italia;rosso;x;;;;;;;0;1;1;0;0;0;0;2;0;0;0;2;;41.8539587;12.4474034;;gentmo.c.-OZObeRTEZvSQ_TJCGne
Evento tayler;Via Sofocle 162, 00125 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.768205;12.3642959;;gentmo.c.-OZoNCbhMQFaFBTeOulC
Evento via Flaminia;Via Flaminia 497, 00191 Roma Lazio, Italia;rosso;x;Luca paganini;;;3357095338;;;0;1;0;0;0;0;0;1;1;0;0;0;28/06/25;41.9399585;12.4693323;;gentmo.c.-OTYK1Mx4bE37BymJB-_
Evento wolf;Via Trionfale 7348, 00135 Roma Lazio, Italia;rosso;x;;;;;;;0;2;0;0;0;0;0;2;2;0;0;0;12/05/25;41.935996;12.4356074;;gentmo.c.-OPVDkf2815syBfR9GCO
Evergreen Centocelle;Via dei Noci, 88, 00172 Roma RM, Italia;rosso;;;;+39 06 8951 1518;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8855961;12.5657355;;gentmo.c.-OcMhNnJAp7Q_dbOEWGE
Exclusive ;Via di Bravetta 120, 00164 Roma Lazio, Italia;rosso;;;;;;;;0;13;0;0;0;0;0;13;0;0;0;13;;41.8847531;12.4230827;;gentmo.c.-OXXcVg1lotLB-9FcB6r
Exclusive evento ;Via del Padiglione 3, 00132 Roma Lazio, Italia;rosso;x;;;;;;;0;0;0;0;0;0;0;1;1;0;0;0;02/07/25;41.8551023;12.6779668;;gentmo.c.-OTaSgi_42vjqrNXnS0d
FERRO cocktail bar;Via Agri, 20, 00198 Roma RM, Italia;rosso;;;;+39 388 973 3659;;;;0;0;0;0;0;0;0;1;1;0;0;0;11/11/25;41.9217114;12.5039018;;gentmo.c.-OdVlklOMiDmfbAQ0jfj
Falacros Pub;Via Raffaele Battistini, 37, 00151 Roma RM, Italia;rosso;;;;+39 329 024 0694;;;;0;6;0;0;0;0;0;6;6;0;0;0;04/06/25;41.8653891;12.4467078;;gentmo.c.-OOS1BhOnB2d6WahX8x4
Fermentum;Via Lemonia, 214, 00178 Roma RM, Italia;rosso;;;;+39 06 8893 9709;;;;0;54;18;18;0;0;0;59;32;0;0;27;06/11/25;41.8518277;12.5592064;;gentmo.c.-OObThkgof2V01UGpmGl
Ferratella Ristorante Pizzeria;Via Salvatore Quasimodo, 126, 00144 Roma RM, Italia;rosso;;;;+39 06 9436 3636;;;;0;1;0;0;0;0;0;1;1;0;0;0;06/06/25;41.8150204;12.4641207;;gentmo.c.-ORxZusb0BwU3U3JDm1T
Festa 30 igor ;Via Enrico Besta 30, 00167 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9051751;12.4281398;;gentmo.c.-O_b0KKxdBFVoHON7cTX
Fieramosca Roma;Piazza dei Mercanti, 3a, 00153 Roma RM, Italia;rosso;;;;+39 375 826 1098;;;;0;4;0;0;0;0;0;5;4;0;0;1;21/09/25;41.8869493;12.4770377;;gentmo.c.-ORbx18DbiAyyuyNYRKY
Filodilatte;Viale Furio Camillo, 41, 00181 Roma RM, Italia;rosso;;;;+39 06 8692 5294;;;;0;1;0;0;1;0;0;1;1;0;0;0;10/03/25;41.8754392;12.5236482;;gentmo.c.-OKQ_MZQhfZN6pn0M-hO
Fiorito;Via Antonio Serra, 11, 00191 Roma RM, Italia;rosso;;;;+39 351 716 2695;;;;0;55;0;0;2;0;0;60;22;0;0;38;29/11/25;41.9435423;12.4726077;;gentmo.c.-OLFQ2QK-GROdLlM9qkm
Fisheye;Viale di Trastevere, 61 63, 00153 Roma RM, Italia;rosso;;;;+39 06 543 5184;;;;0;21;0;0;0;0;0;23;13;0;0;10;07/12/25;41.8880808;12.473647;;gentmo.c.-OD7MwH9ZQ9Ubjm8YQ0q
Flaminio Sporting Club;Via Vitorchiano, 00189 Roma RM, Italia;rosso;;;;+39 06 333 0996;;;;0;4;0;0;1;0;0;4;4;0;0;0;09/07/25;41.9552855;12.4883914;;gentmo.c.-OL65VCw6_MGRpNujY62
Flora Roma;"41°56'54.6""N 12°33'05.3""E Via Aldo Palazzeschi, Via Renato Fucini, 21, 00137 Roma RM, Italia";rosso;;;;+39 320 698 5376;;;;0;5;0;0;0;0;0;6;6;0;0;0;24/06/25;41.9484292;12.5513141;;gentmo.c.-OKQagYtyTIOzqBja3G6
Fornocafè;Via Tiburtina, 608, 00159 Roma RM, Italia;rosso;;;;+39 06 439 6623;;;;0;3;0;0;3;0;0;4;4;0;0;0;20/03/25;41.90865579999999;12.5457165;Scotsman;gentmo.c.-OL-n5rbGQn1wLRj52qq
Forte Monte Antenne;Via del Forte Antenne, 12, 00199 Roma RM, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;24/05/25;41.9380404;12.5007527;;gentmo.c.-OR2C8ANjZJKdIUwhT0O
Foul Moon;16 Sour Dar Al Defaa Al Gawy, Al Golf, Nasr City, Cairo Governorate 4451322, Egitto;rosso;x;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;30.0761698;31.3363148;;gentmo.c.-OLvFomMowSJVm3MGwyj
Four Green Fields;Via Silvio Pellico, 18-20-22, 00195 Roma RM, Italia;rosso;;;;+39 06 372 5091;;;;0;23;0;0;0;0;0;23;2;0;0;21;10/11/25;41.9125551;12.4603881;Prende il 31 g;gentmo.c.-OatiLVQhzeFWnvmA1eT
Fradiavolo Pizzeria - Roma Parioli;V. Po, 29a, 00198 Roma RM, Italia;rosso;;;;+39 06 4008 0026;;;;0;4;3;3;0;0;0;4;0;0;0;4;;41.916269;12.4970309;;gentmo.c.-OYfeQQ1gGUtDE5OmUYN
Fradiavolo Pizzeria - Roma Trastevere;Via di Porta Settimiana, 8, 00165 Roma RM, Italia;rosso;;;;+39 06 8384 8656;;;;0;10;1;1;0;0;0;10;6;0;0;4;26/05/25;41.8920973;12.4678178;;gentmo.c.-OO8tdc_QRT1Xo3JI5Io
Freeda Mood;Via dei Cartari, 7, 00186 Roma RM, Italia;rosso;;;;+39 392 087 1563;;;;0;10;0;0;0;0;0;10;3;0;0;7;21/12/25;41.8977316;12.4680753;;gentmo.c.-OLJxg5EkIBv6tYJsSFj
Freeda Roma;Via Pietro Cossa, 15, 00193 Roma RM, Italia;rosso;;;;+39 06 323 4184;;;;0;28;1;0;1;0;0;31;16;0;0;15;20/08/25;41.9068306;12.4725322;;gentmo.c.-OKQbAM1ImdgkhbYa77D
Freni e Frizioni;Via del Politeama, 4, 00153 Roma RM, Italia;rosso;;;;+39 06 4549 7499;;;;0;3;1;1;0;0;0;4;3;0;0;1;19/06/25;41.8913492;12.4707561;;gentmo.c.-ON4YvRJ6SGhA3PzANhJ
FullMoonClub Roma;12/13, Via Luigi Santini, 00153 Roma RM, Italia;rosso;;;;+39 339 582 1511;;;;0;15;0;0;0;0;0;16;5;0;0;11;20/10/25;41.88716209999999;12.468237;;gentmo.c.-ODHRnu59WfI_tNJIuRK
Galleria d’arte trastevere;Piazza di Santa Maria in Trastevere 1, 00153 Roma Lazio, Italia;rosso;;;;;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8898002;12.4699761;;gentmo.c.-Ofnm4ZO1gJEjIb6O3zD
Gelateria Cucurucho;Via Bernardino Passeri, 2, 00153 Roma RM, Italia;rosso;;;;+39 347 754 1939;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.875434;12.4678993;;gentmo.c.-OXxWQ-HJz_A-FjwbEdY
Gender;Via Faleria, 9, 00183 Roma RM, Italia;rosso;;;;+39 338 657 7151;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.883399;12.5109145;;gentmo.c.-OfF2SWNx5xe81CKyk-c
Gerbillo Furioso;Via Germanico, 103, 00192 Roma RM, Italia;rosso;x;;;+39 348 365 4218;;;;0;11;0;1;1;0;0;13;13;0;0;0;15/06/25;41.9084235;12.4609555;;gentmo.c.-OL6JH8mLwhBLs2oxfSD
Ginny | Cocktail Bar | Wine Bar | Ristorante;Via Giovanni Vitelleschi, 44, 00193 Roma RM, Italia;rosso;;;;+39 06 4547 6520;;;;0;2;0;0;0;0;0;3;3;0;0;0;19/06/25;41.9048531;12.4615673;;gentmo.c.-ODTMAB7NqvV43v9S4_m
Giulia Restaurant;Lungotevere dei Tebaldi, 4, 00186 Roma RM, Italia;rosso;;;;+39 351 936 9771;;;;0;2;0;0;0;0;0;2;2;0;0;0;30/04/25;41.89347530000001;12.4705505;;gentmo.c.-OOsYQ9Rgi0qY7INs7vD
Golden Age Club - Speakeasy;Via Antonio Pacinotti, 3A, 00146 Roma RM, Italia;rosso;;;;+39 389 160 5511;;;;0;29;17;18;1;0;0;33;14;0;0;19;25/11/25;41.8701336;12.4656405;;gentmo.c.-ODI5I8VoMkpvL5umwBm
Gran Caffe' Alberone Srl;Via Appia Nuova, 390, 00179 Roma RM, Italia;rosso;;;;+39 06 7834 4866;;;;0;10;0;0;0;0;0;10;6;0;0;4;08/08/25;41.875764;12.5214284;;gentmo.c.-OUjCRfdgolJ5nvl-A_1
Gran Caffè Tentazioni;Via Silvio D'Amico, 115, 00145 Roma RM, Italia;rosso;;;;+39 06 541 0429;;;;0;3;0;0;0;0;0;4;1;0;0;3;01/07/25;41.85029309999999;12.481233;;gentmo.c.-ODHUW2ypFC5v3npTNlr
Gran Caffè Tentazioni;Viale Erminio Spalla, 21, 00145 Roma RM, Italia;rosso;x;;;+39 06 2539 9916;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8321772;12.5144193;;gentmo.c.-OU42E0U_Lka_57QBM4b
Grazie a Dio è venerdi;Via dei Capocci, 1 RIONE MONTI angolo, Via Clementina, 13/14, 00184 Roma RM, Italia;rosso;;;;+39 335 228 894;;;;1;10;0;0;1;0;0;13;6;0;0;7;22/12/25;41.895708;12.4931042;;gentmo.c.-OL5gaF31XzC_ZKrY6k_
Gregory's Jazz club;Via Gregoriana, 54/a, 00187 Roma RM, Italia;rosso;;;;+39 351 645 7888;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9043559;12.4852521;;gentmo.c.-ODI1zReyneOvEDBEIR6
Grottino Di Abruzzo;Via Palermo, 45, 00184 Roma RM, Italia;rosso;;;;+39 06 474 0980;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.89860960000001;12.4917518;;gentmo.c.-ObXn5jYM16J8gDph_bC
Guenda;Via dei Cerchi, 73, 00186 Roma RM, Italia;rosso;;;;+39 329 808 1894;;;;0;57;0;0;1;0;0;59;19;0;0;40;19/12/25;41.88778779999999;12.4841241;;gentmo.c.-OLKdgXq8fcDjx574BWM
Gulden Draak Bierhuis Roma;Corso Sempione, 9/11, 00141 Roma RM, Italia;rosso;;;;+39 06 8961 9304;;;;0;20;0;0;1;0;0;21;14;0;0;7;14/12/25;41.9354573;12.5339531;;gentmo.c.-ON5hEJLfymEW_fRSHfo
Hanky Panky Roma;Via Riano 48, 00191 Roma Lazio, Italia;rosso;;;;;;;;1;40;0;0;0;0;0;42;12;0;0;30;07/12/25;41.9376474;12.4697522;;gentmo.c.-ONl5ouE4Ebfhv3mljsY
Hannas’s Ristorante Roma;Piazza dei Crociferi, 00187 Roma RM, Italia;rosso;;;;+39 06 8399 5434;;;;0;31;0;0;0;0;0;31;7;0;0;24;18/08/25;41.90100440000001;12.4824487;;gentmo.c.-OTgYZIGadDIrb8tp3Wq
Hiromi - La Maison;Via Reggio Emilia, 24, 00198 Roma RM, Italia;rosso;;;;+39 06 8893 6084;;;;0;13;0;0;0;0;0;15;15;0;0;0;16/07/25;41.9117973;12.503622;;gentmo.c.-OLP6fZ_g17XGywFbiQI
Holy Mary - Osteria Pizzeria & Cocktail Bar;Via della Lungaretta, RM angolo, P.za di Sant'Apollonia, 00153 Roma RM, Italia;rosso;;;;+39 06 581 0573;;;;0;1;0;0;0;0;0;1;1;0;0;0;13/05/25;41.8897007;12.4708569;;gentmo.c.-OQ0D_inzNNRDIcT_cB3
Honkytonk Bar;Via Luigi Fincati, 26 - 28 - 30/26 - 28 - 30, 00154 Roma RM, Italia;rosso;;;;+39 393 912 9592;;;;1;25;0;0;0;0;0;25;25;0;0;0;23/06/25;41.8631866;12.484448;;gentmo.c.-OKQYjMn_K9v0Zd7Or_W
Hopside;Via Francesco Negri, 39/41, 00154 Roma RM, Italia;rosso;;;;+39 06 6931 3081;;;;0;48;0;0;1;0;0;52;24;0;0;28;31/10/25;41.8704579;12.482142;;gentmo.c.-OL66-XEE6UwMXkti4gf
Hostaria Del Moro;Vicolo del Cinque, 36/37, 00153 Roma RM, Italia;rosso;;;;+39 06 9818 2735;;;;0;3;0;0;0;0;0;3;3;0;0;0;17/07/25;41.891043;12.46984;;gentmo.c.-ODNw5Djgp_umdCgATrE
Hotel Hassler;Piazza della Trinità dei Monti, 6, 00187 Roma RM, Italia;rosso;;;;+39 06 699340;;;;0;2;0;0;0;0;0;2;1;0;0;1;20/08/25;41.9060378;12.4838;;gentmo.c.-OY3FZuEoCuFOPCjAwBA
Hotel Parrasio;Salita del Bosco Parrasio, 5, 00153 Roma RM, Italia;rosso;;;;+39 06 9451 7620;;;;0;18;1;1;0;0;0;22;21;0;0;1;19/09/25;41.88946499999999;12.4657261;;gentmo.c.-ONkv4fMk98oVGf1urk3
Hotel Valadier;Via della Fontanella, 15, 00187 Roma RM, Italia;rosso;;;;+39 06 361 1998;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.909278;12.4775029;;gentmo.c.-OakxHJkAeEiR26PJGgD
Hotel Vilòn;Via dell'Arancio, 68/69, 00186 Roma RM, Italia;rosso;;;;+39 06 878187;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.90451270000001;12.4765164;;gentmo.c.-OTHeg8Q_HOukSaeVCv3
Hotel d'Inghilterra Roma - Starhotels Collezione;V. Bocca di Leone, 14, 00187 Roma RM, Italia;rosso;;;;+39 06 699811;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.9047114;12.4806045;;gentmo.c.-Oc2uj8tIZT_wOSrWo2L
Hotel del Corso;Via del Corso, 79, 00186 Roma RM, Italia;rosso;;;;+39 06 3600 6233;;;;1;46;1;15;1;0;0;47;28;0;0;19;22/12/25;41.9068274;12.4780534;;gentmo.c.-OL6dzRaVJRNWp98VhzV
Hotel nazzareno;Via di Sant'Andrea delle Fratte 2, 00187 Roma Lazio, Italia;nero;;;;;;;;1;1;0;0;0;0;0;1;0;0;0;1;;41.9034644;12.48353;;gentmo.c.-OeqGDx2azmIiyQ7nU2v
Humo Brasa Y Musica;V. dei Laghi, km 4,00, 00047 Marino RM, Italia;rosso;;;;+39 344 794 2070;;;;0;1;0;0;0;0;0;1;1;0;0;0;28/05/25;41.7766064;12.6389165;;gentmo.c.-ORHftRzImvAN1EQY1Fe
HÉCO Trastevere;Via Portuense, 47, 00153 Roma RM, Italia;rosso;x;;;+39 06 5654 9356;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8809806;12.4705858;;gentmo.c.-OD7Q66tVkaJGa7Irynm
I Massimi - Pizzeria;Via Portuense, 962, 00148 Roma RM, Italia;rosso;;;;+39 06 9138 5182;;;;0;8;0;0;0;0;0;8;6;0;0;2;31/08/25;41.8427532;12.3874624;;gentmo.c.-OMrxe7QtmneWuaoA9IL
I Vascellari - Trastevere;Via dei Vascellari, 21, 00153 Roma RM, Italia;rosso;;;;+39 06 5833 4628;;;;0;16;0;0;0;0;0;16;1;0;0;15;24/05/25;41.88832530000001;12.4778212;;gentmo.c.-ODCoBf2zlZtpiNiwEVW
Il Duca in Trastevere;Vicolo del Cinque, 56, 00153 Roma RM, Italia;rosso;;;;+39 06 581 7706;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8906441;12.4692917;;gentmo.c.-ODCn0SKQXUkODVwUFgc
Il Gianfornaio - Ponte Milvio;Largo Maresciallo Diaz, 14-19, 00135 Roma RM, Italia;rosso;;;;+39 06 333 3472;;;;0;25;0;0;2;0;0;30;15;0;0;15;18/07/25;41.9366324;12.4653459;;gentmo.c.-OD7P8tUdhGY7QNcvoBQ
Il Giardino Romano;Via del Portico d'Ottavia, 18, 00186 Roma RM, Italia;rosso;;;;+39 06 6880 9661;;;;0;2;0;0;0;0;0;2;2;0;0;0;01/08/25;41.8927541;12.4781364;;gentmo.c.-ODO4LrL_ryZ4pvtq6NJ
Il Mandarino;Via Fiume Bianco, 52, 00144 Roma RM, Italia;rosso;;;;+39 06 5224 6705;;;;0;6;0;0;0;0;0;7;0;0;0;7;;41.8147111;12.4405583;;gentmo.c.-O_qlwtpNsLSJiLSRI9V
Il Marchese - Osteria Mercato Liquori;Via di Ripetta, 162, 00186 Roma RM, Italia;rosso;;;;+39 06 9021 8872;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9043904;12.4752666;;gentmo.c.-ODHaM6lHxvrN6dVlq8V
Il Pescatorio;Via Virginia Agnelli, 91/93, 00151 Roma RM, Italia;rosso;x;;;+39 06 6449 4787;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.86115119999999;12.4440636;;gentmo.c.-ODI2HZe_SNt5AN4oP8m
Il Portale Ostiense;Via del Porto Fluviale, 71, 00154 Roma RM, Italia;rosso;;;;+39 348 650 4164;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8721488;12.4743158;;gentmo.c.-Ofe71XxxpF8dhoPSbtK
Il Tartarughino;Via Vittorio Veneto 9, 00187 Roma Lazio, Italia;rosso;;;;;;;;0;4;0;0;0;0;0;4;0;0;0;4;;41.9045192;12.4886348;;gentmo.c.-OajUNWeqPVMZRcwwodd
Il Treppio tutti i giorni ;Via Angelo Emo, 61, 00136 Roma RM, Italia;blu;;;;+39 06 9211 5454;;;;0;62;46;46;0;0;0;65;7;0;0;58;21/12/25;41.90475819999999;12.447444;;gentmo.c.-ODTZPgu6m4YmXIT5yMJ
Il baretto di 40;Via Duilio, 1, 00192 Roma RM, Italia;rosso;;;;+39 06 4542 9851;;;;0;2;0;0;2;0;0;2;2;0;0;0;11/03/25;41.90971509999999;12.4641523;;gentmo.c.-OL5YNbB-vQlYz7MZvoK
Imperium;Via Giovanni Amendola, 71, 00185 Roma RM, Italia;rosso;;;;+39 06 487 5321;;;;0;42;0;0;0;0;0;43;12;0;0;31;02/09/25;41.89966709999999;12.5000838;;gentmo.c.-ORw8IynwiS17lBKLmzg
Impianto Sportivo Comunale Fulvio Bernardini;Via dell'Acqua Marcia, 51, 00158 Roma RM, Italia;rosso;;;;+39 06 418 2111;;;;0;3;0;0;0;0;0;3;0;0;0;3;;41.92042410000001;12.5567406;;gentmo.c.-O_h1A1Suqdd81jPtgAd
In Fucina - Edoardo Papa;Via dei Salentini, 10, 00185 Roma RM, Italia;rosso;;;;+39 06 8879 1819;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8984457;12.510946;;gentmo.c.-OZ3reb3dBAeQCKM1l1z
In Vino Veritas Trastevere;Via Garibaldi, 2 A, 00153 Roma RM, Italia;rosso;;;;+39 339 753 6722;;;;0;2;0;0;0;0;0;3;3;0;0;0;18/05/25;41.89177369999999;12.467732;;gentmo.c.-OPLis1dOXpZf8P3q_gS
Incrocio - Lunedi Chiuso ;Via Tripolitania 171, 00199 Roma Lazio, Italia;rosso;;;;;;;;0;22;0;0;0;0;0;23;11;0;0;12;31/08/25;41.9309578;12.5227671;;gentmo.c.-OPMmCAt1yaJdW6sFruw
Istituto Svizzero, Roma;Via Ludovisi, 48, 00187 Roma RM, Italia;rosso;;;;+39 06 420421;;;;0;3;1;1;0;0;0;3;1;0;0;2;26/06/25;41.90634319999999;12.4876114;;gentmo.c.-OTcR7gJvnocAuPU2es9
Ivan cesaroni ;Viale delle Gardenie 43, 00171 Roma Lazio, Italia;nero;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.886167;12.564192;;gentmo.c.-Ocl84g60mWRv65L49DB
JACKING;Vicolo del Cinque, 24 b, 00153 Roma RM, Italia;rosso;;;;+39 388 166 2270;;;;0;119;0;1;0;1;0;126;54;0;0;72;21/12/25;41.8910643;12.4696537;;gentmo.c.-OL6_74uka-8eR4btlbS
JIGGER -Cocktail Bar & Food-;Via Mestre, 2, 00182 Roma RM, Italia;rosso;;;;+39 06 6935 0853;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8805187;12.5225959;;gentmo.c.-ODHR8JagLDv9O_Not2n
JO&JOE Roma;Via delle Quattro Fontane, 113, 00184 Roma RM, Italia;rosso;;;;+39 06 4559 0522;;;;0;12;6;6;0;0;0;13;5;0;0;8;05/08/25;41.9009052;12.4924852;;gentmo.c.-OUUkSSrYKbIZOdTA6mZ
Jacking ciringhito ;Vicolo del Cinque 25, 00153 Roma Lazio, Italia;rosso;;;;;;;;0;38;0;0;0;0;0;38;4;0;0;34;21/12/25;41.8911393;12.4697247;;gentmo.c.-Oa3PWOtyaEAnwC5TFGL
Jaipur - Ristorante Indiano;Via di S. Francesco a Ripa, 56, 00153 Roma RM, Italia;rosso;;;;+39 06 580 3992;;;;0;3;0;0;0;0;0;3;0;0;0;3;;41.8863018;12.472494;;gentmo.c.-Oa-Sm-UoBJcXUZZIdNK
Jarro il quattordicesimo;Piazzale di Ponte Milvio, 32, 00191 Roma RM, Italia;rosso;;;;+39 338 707 9573;;;;0;0;0;0;0;0;0;1;1;0;0;0;01/07/25;41.937744;12.4663069;;gentmo.c.-OU4mAhESFA6hFrQZ9J6
Jazz al Colosseo - Parco del Celio;Viale di Parco del Celio, 00184 Roma RM, Italia;rosso;;;;;;;;0;32;13;12;0;0;0;35;7;0;0;28;17/10/25;41.8886561;12.4914842;;gentmo.c.-OW2L0BlMXWlw1bpd6MK
Jerry Thomas Bar Room;Via del Moro, 10, 00153 Roma RM, Italia;rosso;x;;;+39 340 733 2980;;;;0;1;0;0;0;0;0;1;1;0;0;0;07/05/25;41.8909599;12.4705308;;gentmo.c.-OPed3AFfyHJyuemyo4L
Jerry Thomas Speakeasy;Vicolo Cellini, 30, 00186 Roma RM, Italia;rosso;x;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8979544;12.4679131;;gentmo.c.-ODMoIt3_rj2Qwu-KYKc
Jey Lab Sushi & Pokè & bubble tèa;Circonvallazione Gianicolense, 134, 00152 Roma RM, Italia;rosso;;;;+39 339 579 2846;;;;0;8;0;0;0;0;0;8;5;0;0;3;04/09/25;41.8706237;12.4542001;;gentmo.c.-OMERby7KGqtmn0JaNGZ
Joy;Via Ulisse Aldrovandi 16, 00197 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;10/04/25;41.9195604;12.4879156;;gentmo.c.-ONPjikWBjQsyWKZbl12
Juanpiero ;Via delle Azzorre 340, 00121 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;22/04/25;41.74061639999996;12.267389600000019;;gentmo.c.-OO5hGL8HXSi9EYS58Bz
